predicate,functionality,inverse_functionality
http://www.w3.org/2000/01/rdf-schema#label,1.2350316102640386,4.059902200488998
http://data.europa.eu/949/notApplicable,14.144086021505377,175.38666666666666
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,1.0193380438824842,152.27777777777777
http://data.europa.eu/949/etcsLevel,1.0,1.0
http://data.europa.eu/949/minimumHorizontalRadius,1.0,1.5576923076923077
http://data.europa.eu/949/maximumPermittedSpeed,1.0,13.5
http://data.europa.eu/949/trainDetectionSystemSpecificCheckDocument,1.0,159.0
http://data.europa.eu/949/imCode,1.0,460.0
http://data.europa.eu/949/tafTAPCode,1.0,1.0106382978723405
http://data.europa.eu/949/minAxleLoad,2.0063291139240507,158.5
http://data.europa.eu/949/otherTrainProtection,1.0,162.0
http://data.europa.eu/949/phaseInfoKm,1.0,21.0
http://data.europa.eu/949/maxSandingOutput,1.0,79.5
http://data.europa.eu/949/gaugingProfile,4.642424242424243,127.66666666666667
http://data.europa.eu/949/etcsNationalPacket44,1.0,162.0
http://data.europa.eu/949/trackId,1.0,1.3472803347280335
http://data.europa.eu/949/lineNationalId,1.0,12.0
http://data.europa.eu/949/maximumBrakingDistance,1.0,40.5
http://data.europa.eu/949/platformId,1.0,1.606060606060606
http://data.europa.eu/949/trackRaisedPantographsDistanceAndSpeed,3.0,1.0
http://data.europa.eu/949/trainDetectionSystem,2.753086419753086,1.0
http://data.europa.eu/949/freightCorridor,1.0,220.0
http://data.europa.eu/949/loadCapabilitySpeed,1.0,13.5
http://data.europa.eu/949/tsiCompliantMaxImpedanceWheelset,1.0,159.0
http://data.europa.eu/949/minAxleLoadVehicleCategory,3.0,316.0
http://data.europa.eu/949/trackLoadCapability,1.0,1.0
http://data.europa.eu/949/etcsDegradedSituation,1.0,162.0
http://data.europa.eu/949/tsiPantographHead,1.0,159.0
http://data.europa.eu/949/raisedPantographsSpeed,1.0,159.0
http://data.europa.eu/949/platformEdge,1.0063291139240507,1.0
http://data.europa.eu/949/flangeLubeForbidden,1.0,162.0
http://data.europa.eu/949/maximumContactWireHeight,1.0,159.0
http://data.europa.eu/949/railInclination,1.0,81.0
http://data.europa.eu/949/gsmROptionalFunctions,4.987654320987654,161.6
http://data.europa.eu/949/hasTSITrainDetection,1.0,81.0
http://data.europa.eu/949/length,1.0,1.7647058823529411
http://data.europa.eu/949/raisedPantographsNumber,1.0,477.0
http://data.europa.eu/949/hasAbstraction,1.0,1.0
http://data.europa.eu/949/verificationCCS,1.0246913580246915,83.0
http://data.europa.eu/949/hashSource,1.0,1.0
http://data.europa.eu/949/trainDetectionSystemSpecificCheck,1.0,159.0
http://data.europa.eu/949/raisedPantographsDistance,1.0,159.0
http://data.europa.eu/949/minDistConsecutiveAxles,1.0,31.4
http://data.europa.eu/949/maxFlangeHeight,1.0,157.0
http://data.europa.eu/949/profileNumberSemiTrailers,2.0,49.666666666666664
http://data.europa.eu/949/contactStripMaterialMetallicContent,1.0,159.0
http://data.europa.eu/949/currentLimitationRequired,1.0,159.0
http://data.europa.eu/949/tsiCompliantFerromagneticWheel,1.0,157.0
http://data.europa.eu/949/inCountry,1.0,255.0
http://data.europa.eu/949/canonicalURI,1.0,1.0213675213675213
http://data.europa.eu/949/wheelSetGauge,1.0,322.0
http://data.europa.eu/949/usesGroup555,1.0,162.0
http://data.europa.eu/949/publicNetworkRoaming,1.0,162.0
http://data.europa.eu/949/minFlangeThickness,1.0,157.0
http://data.europa.eu/949/magneticBraking,1.0,162.0
http://data.europa.eu/949/track,1.9397590361445782,1.0
http://data.europa.eu/949/contactLineSystem,1.0,1.0
http://data.europa.eu/949/etcsBaseline,1.0,162.0
http://data.europa.eu/949/minimumWheelDiameter,1.0,162.0
http://data.europa.eu/949/otherPantographHead,2.0,159.0
http://data.europa.eu/949/profileNumberSwapBodies,2.0,49.666666666666664
http://data.europa.eu/949/maxDistEndTrainFirstAxle,1.0,162.0
http://data.europa.eu/949/hasSystemSeparation,1.0,79.5
http://data.europa.eu/949/protectionLegacySystem,1.0,162.0
http://data.europa.eu/949/requiredSandingOverride,1.0,79.5
http://data.europa.eu/949/gsmrNetworkCoverage,4.0,162.0
http://data.europa.eu/949/tsiCompliantMetalFreeSpace,1.0,157.0
http://data.europa.eu/949/assistanceStartingTrain,1.0,159.0
http://data.europa.eu/949/lineReference,1.3789473684210527,1.0076923076923077
http://data.europa.eu/949/opEnd,1.0,1.065217391304348
http://data.europa.eu/949/trainDetectionSystemType,1.0,148.66666666666666
http://data.europa.eu/949/TSITractionHarmonics,1.0,81.0
http://data.europa.eu/949/lineCategory,1.996078431372549,127.25
http://data.europa.eu/949/tsiCompliantShuntDevices,1.0,79.5
http://data.europa.eu/949/localRulesOrRestrictions,1.0,162.0
http://data.europa.eu/949/gsmRVersion,1.0,162.0
http://data.europa.eu/949/temperatureRange,1.0,162.0
http://data.europa.eu/949/TSIMagneticFields,1.0,157.0
http://data.europa.eu/949/legacyRadioSystem,1.0,162.0
http://data.europa.eu/949/minFlangeHeight,1.0,157.0
http://data.europa.eu/949/gradientProfile,1.0,1.1353383458646618
http://data.europa.eu/949/opName,1.0,1.0
http://data.europa.eu/949/lengthOfTunnel,1.0,1.7916666666666667
http://data.europa.eu/949/hasHotAxleBoxDetector,1.0,162.0
http://data.europa.eu/949/hasLevelCrossings,1.0,81.0
http://data.europa.eu/949/minimumContactWireHeight,1.0,79.5
http://data.europa.eu/949/hasAdditionalBrakingInformation,1.0,162.0
http://data.europa.eu/949/kilometer,1.0,1.2871287128712872
http://data.europa.eu/949/lengthOfSectionOfLine,1.0,1.0425531914893618
http://data.europa.eu/949/automaticDroppingDeviceRequired,1.0,159.0
http://data.europa.eu/949/additionalBrakingInformationDocument,1.0,162.0
http://data.europa.eu/949/minimumTemperature,1.0,162.0
http://data.europa.eu/949/eddyCurrentBraking,1.0,162.0
http://data.europa.eu/949/etcsMVersion,1.0,162.0
http://data.europa.eu/949/contactStripMaterial,1.9937106918238994,158.5
http://data.europa.eu/949/areaBoardingAid,1.0,159.0
http://data.europa.eu/949/loadCapabilityLineCategory,1.0,162.0
http://data.europa.eu/949/tsiCompliantCompositeBrakeBlocks,1.0,159.0
http://data.europa.eu/949/contactLineSystemType,1.0,81.0
http://data.europa.eu/949/tsiCompliantRSTShuntImpedance,1.0,79.5
http://data.europa.eu/949/permittedContactForce,1.0,159.0
http://data.europa.eu/949/etcsInfill,1.0,162.0
http://data.europa.eu/949/tenClassification,1.1808118081180812,80.0
http://data.europa.eu/949/maximumTemperature,1.0,162.0
http://data.europa.eu/949/phaseSeparation,1.0,79.5
http://data.europa.eu/949/hasRegenerativeBrake,1.0,159.0
http://data.europa.eu/949/tenGISId,1.0,8.6875
http://data.europa.eu/949/solNature,1.0,98.0
http://data.europa.eu/949/etcsSystemCompatibility,1.0,54.0
http://data.europa.eu/949/etcsLevelType,1.0,162.0
http://data.europa.eu/949/lengthOfPlatform,1.0,2.7413793103448274
http://data.europa.eu/949/uopid,1.0,1.0
http://data.europa.eu/949/tsiSwitchCrossing,1.0,162.0
http://data.europa.eu/949/maximumTrainDeceleration,1.0,162.0
http://data.europa.eu/949/voiceRadioCompatible,1.0,162.0
http://www.opengis.net/ont/geosparql#asWKT,1.0,1.0
http://data.europa.eu/949/minRimWidth,1.0,157.0
http://data.europa.eu/949/complianceInfTsi,1.0,43.0
http://data.europa.eu/949/tsiCompliantMaxDistConsecutiveAxles,1.0,162.0
http://data.europa.eu/949/trackDirection,1.0,162.0
http://data.europa.eu/949/hasSevereWeatherConditions,1.0,162.0
http://data.europa.eu/949/energySupplySystem,1.0,159.0
http://data.europa.eu/949/maximumAltitude,1.0,2.2203389830508473
http://data.europa.eu/949/isQuietRoute,1.0,162.0
http://data.europa.eu/949/hasETCSRestrictionsConditions,1.0,162.0
http://data.europa.eu/949/tdsMinAxleLoadVehicleCategory,1.0,1.0
http://data.europa.eu/949/hasBallast,1.0,162.0
http://data.europa.eu/949/minWheelDiameter,1.0,31.4
http://data.europa.eu/949/gsmRNoCoverage,1.0,162.0
http://data.europa.eu/949/cantDeficiency,1.0,2.1129032258064515
http://data.europa.eu/949/phaseInfoPantographLowered,1.0,42.0
http://data.europa.eu/949/flangeLubeRules,1.0,79.5
http://data.europa.eu/949/dataRadioCompatible,1.0,162.0
http://data.europa.eu/949/localRulesOrRestrictionsDoc,1.0,162.0
http://data.europa.eu/949/etcsInfillLineAccess,1.0,162.0
http://data.europa.eu/949/accelerationLevelCrossing,1.0,129.0
http://data.europa.eu/949/phaseInfoChangeSupplySystem,1.0,42.0
http://www.w3.org/2003/01/geo/wgs84_pos#long,1.0,1.0196078431372548
http://data.europa.eu/949/opStart,1.0,1.2098765432098766
http://data.europa.eu/949/platformHeight,1.0,53.0
http://www.w3.org/2003/01/geo/wgs84_pos#lat,1.0,1.0196078431372548
http://www.w3.org/2003/01/geo/wgs84_pos#location,1.0,1.0
http://data.europa.eu/949/maxTrainCurrent,1.0,159.0
http://www.opengis.net/ont/geosparql#hasGeometry,1.0,1.0
http://data.europa.eu/949/minDistFirstLastAxle,1.0,29.0
http://data.europa.eu/949/specificInformation,1.0,40.5
http://data.europa.eu/949/lineReferenceTunnelEnd,1.0,1.0
http://data.europa.eu/949/phaseInfoLength,1.0,42.0
http://data.europa.eu/949/tsiCompliantMetalConstruction,1.0,130.0
http://data.europa.eu/949/endLocation,1.0,1.6538461538461537
http://data.europa.eu/949/opType,1.0,13.571428571428571
http://data.europa.eu/949/trackPhaseInfo,1.0,1.0
http://data.europa.eu/949/netElement,1.744186046511628,3.260869565217391
http://data.europa.eu/949/tunnelIdentification,1.0,1.6538461538461537
http://data.europa.eu/949/systemSeparationInfoChangeSupplySystem,1.0,2.0
http://data.europa.eu/949/phaseInfoSwitchOffBreaker,1.0,42.0
http://data.europa.eu/949/lineReferenceTunnelStart,1.0,1.0
http://data.europa.eu/949/verificationENE,1.0,8.0
http://data.europa.eu/949/phaseInfoDistanceType,1.0,42.0
http://data.europa.eu/949/startLocation,1.0,1.6538461538461537
http://data.europa.eu/949/passesThroughTunnel,1.8695652173913044,1.0
http://data.europa.eu/949/documentUrl,1.0,1.0
http://data.europa.eu/949/systemSeparationInfoLength,1.0,2.0
http://data.europa.eu/949/trackSystemSeparationInfo,1.0,1.0
http://data.europa.eu/949/systemSeparationInfoKm,1.0,2.0
http://data.europa.eu/949/systemSeparationInfoSwitchOffBreaker,1.0,2.0
http://data.europa.eu/949/systemSeparationInfoLoweredPantograph,1.0,2.0
http://xmlns.com/foaf/0.1/name,1.0,1.0
